"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"71","5","KEGG Pathways","","Gastric acid secretion","4.9E-4","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","3.07E-5","","hsa04971","0.5841985529010302","0"
"129","6","KEGG Pathways","","Fluid shear stress and atherosclerosis","6.8E-4","CALM3|CALML6|FOS|CALML3|CALML5|CALML4","2046","2118|2446|2302|2102|2086|2426","4.48E-5","","hsa05418","0.5590795570572257","0"
"137","6","KEGG Pathways","","Measles","9.0E-4","FOS|IFNA14|IFNA21|HSPA2|IL6|IFNA5","2046","2302|2334|2294|2110|2322|2314","6.18E-5","","hsa05162","0.537592909276737","0"
"655","15","GO Biological Process","","Hemopoiesis","9.3E-4","PDE1B|LIF|HERC6|FLT1|KIT|RUNX1|JUNB|FOS|ZBTB16|IFNA14|IFNA21|IL6|CEBPD|TIPARP|IFNA5","2046","2134|2218|2282|2178|2222|2206|2342|2302|2238|2334|2294|2322|2142|2082|2314","5.85E-7","","GO:0030097","0.5350793936351511","0"
"252","10","GO Biological Process","","Defense response to virus","9.3E-4","BST2|DDIT4|IFI6|IFIT1|IFNA14|IFNA21|IL6|AKAP1|IFNA5|IFITM2","2046","2278|2126|2406|2378|2334|2294|2322|2386|2314|2358","4.74E-7","","GO:0051607","0.5350793936351511","0"
"207","7","KEGG Pathways","","cAMP signaling pathway","0.001","CALM3|CALML6|FOS|CALML3|CALML5|CALML4|GRIA1","2046","2118|2446|2302|2102|2086|2426|2350","7.23E-5","","hsa04024","0.5295164611196028","0"
"87","5","KEGG Pathways","","GnRH signaling pathway","0.001","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","7.7E-5","","hsa04912","0.5295164611196028","0"
"147","6","KEGG Pathways","","Oxytocin signaling pathway","0.0011","CALM3|CALML6|FOS|CALML3|CALML5|CALML4","2046","2118|2446|2302|2102|2086|2426","8.99E-5","","hsa04921","0.5222104250658625","0"
"89","5","KEGG Pathways","","Salivary secretion","0.0011","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","8.53E-5","","hsa04970","0.5222104250658625","0"
"92","5","KEGG Pathways","","Inflammatory mediator regulation of TRP channels","0.0012","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","9.91E-5","","hsa04750","0.5155405367215433","0"
"225","7","KEGG Pathways","","Ras signaling pathway","0.0013","FLT1|KIT|CALM3|CALML6|CALML3|CALML5|CALML4","2046","2178|2222|2118|2446|2102|2086|2426","1.2E-4","","hsa04014","0.5094048342257294","0"
"94","5","KEGG Pathways","","Phosphatidylinositol signaling system","0.0013","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","1.1E-4","","hsa04070","0.5094048342257294","0"
"94","5","KEGG Pathways","","Aldosterone synthesis and secretion","0.0013","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","1.1E-4","","hsa04925","0.5094048342257294","0"
"706","15","Reactome Pathways","","Cytokine Signaling in Immune system","0.0013","LIF|BST2|F13A1|JUNB|FOS|SOCS3|IFI6|IFIT1|IFNA14|IFNA21|IL6|CEBPD|IFNA5|IFITM2|ALPK1","2046","2218|2278|2374|2342|2302|2246|2406|2378|2334|2294|2322|2142|2314|2358|2130","1.46E-6","","HSA-1280215","0.5094048342257294","0"
"107","7","Reactome Pathways","","Interleukin-4 and Interleukin-13 signaling","0.0013","LIF|F13A1|JUNB|FOS|SOCS3|IL6|CEBPD","2046","2218|2374|2342|2302|2246|2322|2142","1.18E-6","","HSA-6785807","0.5094048342257294","0"
"158","6","KEGG Pathways","","JAK-STAT signaling pathway","0.0014","LIF|SOCS3|IFNA14|IFNA21|IL6|IFNA5","2046","2218|2246|2334|2294|2322|2314","1.3E-4","","hsa04630","0.5037240610120363","0"
"44","5","WikiPathways","","Renin-angiotensin-aldosterone system (RAAS)","0.0014","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","3.51E-6","","WP4756","0.5037240610120363","0"
"100","5","KEGG Pathways","","Toll-like receptor signaling pathway","0.0015","FOS|IFNA14|IFNA21|IL6|IFNA5","2046","2302|2334|2294|2322|2314","1.4E-4","","hsa04620","0.4984353876765163","0"
"100","5","KEGG Pathways","","Glucagon signaling pathway","0.0015","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","1.4E-4","","hsa04922","0.4984353876765163","0"
"111","5","KEGG Pathways","","TNF signaling pathway","0.0022","LIF|JUNB|FOS|SOCS3|IL6","2046","2218|2342|2302|2246|2322","2.3E-4","","hsa04668","0.4690769790675822","0"
"112","5","KEGG Pathways","","Neurotrophin signaling pathway","0.0022","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","2.4E-4","","hsa04722","0.4690769790675822","0"
"296","10","GO Biological Process","","Kidney development","0.0025","SERPINF1|ADAMTS1|IRX1|IRX2|ZBTB16|POU3F3|TFAP2B|MME|TIPARP|STRA6","2046","2422|2150|2354|2366|2238|2394|2274|2254|2082|2414","1.94E-6","","GO:0001822","0.4592778660762957","0"
"62","4","KEGG Pathways","","Cytosolic DNA-sensing pathway","0.0025","IFNA14|IFNA21|IL6|IFNA5","2046","2334|2294|2322|2314","2.7E-4","","hsa04623","0.4592778660762957","0"
"121","5","KEGG Pathways","","Oocyte meiosis","0.003","CALM3|CALML6|CALML3|CALML5|CALML4","2046","2118|2446|2102|2086|2426","3.4E-4","","hsa04114","0.44530194167823606","0"
"191","6","KEGG Pathways","","Calcium signaling pathway","0.0031","PDE1B|CALM3|CALML6|CALML3|CALML5|CALML4","2046","2134|2118|2446|2102|2086|2426","3.5E-4","","hsa04020","0.44278842603665025","0"
