gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000182809.11,CRIP2,2500.192905292201,0.61188039047246734,0.1255894809584423,6.8236218971850094e-08,1.5522410539102942e-05
ENSG00000138640.15,FAM13A,688.14914536348681,0.96791012679834365,0.20144675131991621,7.6749404064005295e-08,1.7235161045963031e-05
ENSG00000235244.6,DANT2,126.41743015418101,2.2797984493946988,0.48085856815349931,8.921201044416788e-08,1.97802224675955e-05
ENSG00000135940.7,COX5B,1654.0385977424401,0.72477499720490313,0.15178771657042589,9.9971447396590086e-08,2.1888748407483401e-05
ENSG00000075651.17,PLD1,300.22374071533409,0.81637636835299865,0.17232449307608341,1.1292726151579861e-07,2.4420171761860841e-05
ENSG00000164627.18,KIF6,141.88868134104439,1.0518241308632961,0.22390547360729349,1.2548297266843689e-07,2.6804387186101709e-05
ENSG00000280071.5,ENSG00000280071,184.9382732242025,1.4185348728451199,0.30383394209334658,1.3308115188268691e-07,2.808493320936318e-05
ENSG00000118271.12,TTR,9622.1501600766278,3.6241592258804571,0.78055943885670798,1.4072653356637511e-07,2.9344832880340771e-05
ENSG00000109758.9,HGFAC,154.7075552632067,1.616234899072132,0.35153103404723979,1.8607250541357811e-07,3.8344070644990987e-05
ENSG00000164877.19,MICALL2,357.37257972342792,0.99452588151600996,0.21635953519854551,2.0680242401398769e-07,4.1696833439254292e-05
ENSG00000198089.16,SFI1,580.18842728992138,1.0104785191807819,0.219916181746344,2.071034773472895e-07,4.1696833439254292e-05
ENSG00000168026.19,TTC21A,195.2510123855732,1.081344054886332,0.23575609180248999,2.1342063747557901e-07,4.2480407795707277e-05
ENSG00000179813.7,FAM216B,192.33804859895349,2.8865467472455979,0.63641617321161481,2.2670021260634331e-07,4.4616639595648411e-05
ENSG00000196456.13,ZNF775,148.84124076879681,0.9543893049927844,0.20843059189298921,2.307695870885416e-07,4.4912889860476612e-05
ENSG00000119514.7,GALNT12,299.11268989668758,0.86499558672311605,0.18969536875388471,2.583980306648444e-07,4.973736159478477e-05
ENSG00000100197.23,CYP2D6,103.4523864225042,1.4366282798462999,0.31739899903527652,2.6855330240305181e-07,5.113021353143321e-05
ENSG00000167615.18,LENG8,2308.8254413981349,1.1327185050959021,0.25085188107079798,2.7982735293391488e-07,5.2703827032155419e-05
ENSG00000290682.1,STAG3L5P,148.22008086290961,1.584943653315362,0.35222051597652448,2.9151338484028621e-07,5.4320728179387802e-05
ENSG00000130513.7,GDF15,956.1953862149868,1.9753552123300679,0.44206233302871828,3.2622946214524369e-07,6.0149844830906177e-05
ENSG00000183458.15,PKD1P3,114.03268400607401,2.1509869791665381,0.48209474073453801,3.3642344986775112e-07,6.1383261957120077e-05
ENSG00000128011.5,LRFN1,569.51096666651517,1.2850456655331719,0.28839838844780058,3.6891758591540108e-07,6.6537260221649354e-05
ENSG00000116857.17,TMEM9,3288.2592209120762,-0.3792219334046153,0.0820085398740521,3.7226829765480909e-07,6.6537260221649354e-05
ENSG00000164972.14,SPMIP6,117.7043706534065,2.6603378033250351,0.60205943000096762,3.9472780225031778e-07,6.9496224393178965e-05
ENSG00000243978.9,RTL9,452.9654420964157,1.0956931001457391,0.24618303749666889,3.9675853158928392e-07,6.9496224393178965e-05
ENSG00000110047.18,EHD1,1809.3143633940419,0.39962047481733309,0.087169166824900404,4.2441494510150771e-07,7.3376475325277236e-05
ENSG00000141013.17,GAS8,727.52139469938027,0.89524903222009589,0.20131225737506339,4.2728936304968481e-07,7.3376475325277236e-05
ENSG00000171813.14,PWWP2B,412.12182117677349,0.74589957131011475,0.1671640539160173,4.3264283842827671e-07,7.3574485028249468e-05
ENSG00000073969.19,NSF,5757.3368777460364,-0.2778874793236652,0.059676321961187703,5.0820774497358612e-07,8.5208803006517198e-05
ENSG00000107404.21,DVL1,1935.176304364777,0.80870781563096505,0.1830541520642677,5.1078581386642538e-07,8.5208803006517198e-05
ENSG00000205702.13,CYP2D7,124.357115352311,1.581495021580136,0.36153719887047781,5.2076255690171715e-07,8.6053556100853555e-05
ENSG00000215374.6,FAM66B,21.813239063866039,4.2442586779020246,0.9614025503519058,8.2542619190848212e-07,0.00013512303904176609
ENSG00000251562.11,MALAT1,10225.0305477028,1.2726675697179559,0.29834822834757591,8.6531346235409442e-07,0.00014020714242356721
ENSG00000232434.3,AJM1,366.20052255652439,1.238027657614921,0.29015651212467819,8.7249249395802824e-07,0.00014020714242356721
ENSG00000103326.12,CAPN15,387.72071810370562,1.248655238686337,0.292918050525171,8.8384218294525365e-07,0.00014073981524062779
ENSG00000102109.9,PCSK1N,357.51680197109567,2.1096926619967009,0.4975081339415971,9.1266212559055402e-07,0.00014401972785445179
ENSG00000161996.19,WDR90,311.56229294800647,1.511625515096243,0.35599168545373477,9.2127771517290518e-07,0.000144081254097934
