"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"1394","18","GO Biological Process","","Defense response","1.7E-4","BST2|RTP4|HERC5|FOS|DDIT4|STAT2|TAC1|NFKBIZ|IFI6|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|IFI27|IFNA5|IFITM2|ALPK1","6293","6405|6513|6529|6349|6357|6325|6329|6425|6565|6549|6457|6421|6469|6417|6481|6441|6493|6521","2.48E-7","","GO:0006952","0.37695510786217257","0"
"147","6","KEGG Pathways","","Necroptosis","2.4E-4","STAT2|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6325|6457|6421|6469|6417|6441","9.22E-6","","hsa04217","0.3619788758288394","0"
"2355","23","GO Biological Process","","Response to external stimulus","3.0E-4","BST2|RTP4|HERC6|HERC5|FLT1|FOS|DDIT4|STAT2|TAC1|IFI6|ANKRD1|IFIT1|IFNA8|IFNA10|IFNA14|IFNA21|OCIAD2|STRA6|ZFP36|IFI27|IFNA5|IFITM2|ALPK1","6293","6405|6513|6413|6529|6445|6349|6357|6325|6329|6565|6489|6549|6457|6421|6469|6417|6557|6545|6337|6481|6441|6493|6521","4.8E-7","","GO:0009605","0.35228787452803373","0"
"143","7","GO Biological Process","","Regulation of peptidyl-serine phosphorylation","3.0E-4","LIF|DDIT4|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6401|6357|6457|6421|6469|6417|6441","4.89E-7","","GO:0033135","0.35228787452803373","0"
"87","6","GO Biological Process","","Cellular response to virus","3.0E-4","IFI6|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6565|6457|6421|6469|6417|6441","5.05E-7","","GO:0098586","0.35228787452803373","0"
"6207","39","GO Biological Process","","Positive regulation of biological process","3.8E-4","GADD45B|SULT1E1|DNPH1|TLE6|LIF|BST2|SERPINF1|PITX1|S100A11|CSRNP1|FLT1|BMP3|ADAMTS1|PCBD1|JUNB|FOS|DDIT4|STAT2|TAC1|NFKBIZ|SOCS3|ANKRD1|IFIT1|ID1|IFNA8|IFNA10|IFNA14|IFNA21|EGFL6|HSPA2|CEBPD|MME|TIPARP|OCIAD2|PTP4A3|STRA6|ZFP36|IFNA5|ALPK1","6293","6505|6437|6341|6465|6401|6405|6353|6345|6477|6377|6445|6537|6525|6561|6365|6349|6357|6325|6329|6425|6517|6489|6549|6553|6457|6421|6469|6417|6497|6473|6501|6409|6449|6557|6381|6545|6337|6441|6521","7.0E-7","","GO:0048518","0.342021640338319","0"
"2040","21","GO Biological Process","","Cell surface receptor signaling pathway","4.1E-4","LIF|CSRNP1|FLT1|BMP3|ADAMTS1|FOS|DDIT4|STAT2|NFKBIZ|SOCS3|ID1|IFNA8|IFNA10|IFNA14|IFNA21|TIPARP|LY6E|PTP4A3|IFI27|IFNA5|IFITM2","6293","6401|6377|6445|6537|6525|6349|6357|6325|6425|6517|6553|6457|6421|6469|6417|6449|6429|6381|6481|6441|6493","7.92E-7","","GO:0007166","0.33872161432802644","0"
"126","6","WikiPathways","","Overview of proinflammatory and profibrotic mediators","4.4E-4","LIF|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6401|6457|6421|6469|6417|6441","3.94E-6","","WP5095","0.33565473235138127","0"
"130","6","WikiPathways","","Adipogenesis","4.6E-4","GADD45B|LIF|BMP3|STAT2|SOCS3|CEBPD","6293","6505|6401|6537|6325|6517|6501","4.68E-6","","WP236","0.3337242168318426","0"
"73","5","WikiPathways","","Cytosolic DNA-sensing pathway","4.6E-4","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","4.94E-6","","WP4655","0.3337242168318426","0"
"173","6","KEGG Pathways","","NOD-like receptor signaling pathway","5.4E-4","STAT2|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6325|6457|6421|6469|6417|6441","2.25E-5","","hsa04621","0.3267606240177031","0"
"478","9","KEGG Pathways","","Herpes simplex virus 1 infection","5.4E-4","BST2|ZNF439|STAT2|SOCS3|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6405|6433|6325|6517|6457|6421|6469|6417|6441","2.26E-5","","hsa05168","0.3267606240177031","0"
"53","5","GO Biological Process","","B cell proliferation","5.7E-4","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","1.13E-6","","GO:0042100","0.3244125144327509","0"
"218","7","WikiPathways","","Network map of SARS-CoV-2 signaling pathway","5.7E-4","BST2|JUNB|FOS|DDIT4|IFI6|IFIT1|IFI27","6293","6405|6365|6349|6357|6565|6549|6481","7.27E-6","","WP5115","0.3244125144327509","0"
"2692","24","GO Biological Process","","Response to organic substance","6.2E-4","BST2|SERPINF1|FLT1|FOS|DDIT4|STAT2|TAC1|SOCS3|ANKRD1|IFIT1|ID1|IFNA8|IFNA10|IFNA14|IFNA21|HSPA2|MME|TIPARP|PTP4A3|STRA6|ZFP36|IFI27|IFNA5|IFITM2","6293","6405|6353|6445|6349|6357|6325|6329|6517|6489|6549|6553|6457|6421|6469|6417|6473|6409|6449|6381|6545|6337|6481|6441|6493","1.27E-6","","GO:0010033","0.3207608310501746","0"
"282","7","KEGG Pathways","","Cytokine-cytokine receptor interaction","7.7E-4","LIF|BMP3|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6401|6537|6457|6421|6469|6417|6441","3.65E-5","","hsa04060","0.31135092748275184","0"
"7","3","STRING Clusters","","Interferon alpha/beta/delta","8.8E-4","IFNA10|IFNA14|IFNA21","6293","6421|6469|6417","3.65E-6","","CL:16052","0.30555173278498315","0"
"187","7","UniProt Keywords","","Cytokine","9.2E-4","LIF|BMP3|IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6401|6537|6457|6421|6469|6417|6441","2.74E-6","","KW-0202","0.3036212172654445","0"
"120","5","KEGG Pathways","","Natural killer cell mediated cytotoxicity","9.7E-4","IFNA8|IFNA10|IFNA14|IFNA21|IFNA5","6293","6457|6421|6469|6417|6441","4.9E-5","","hsa04650","0.3013228265733755","0"
