"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"342","12","GO Cellular Component","","Cell projection membrane","0.0211","MTMR9|CNGB1|GUCY2D|PDE6A|PKD1|GNA12|PDE6G|THEM4|PDE6B|PROM1|PRCD|EHD1","8815","9183|9243|9415|9287|9127|8967|9271|9355|9175|9083|9299|8855","8.23E-5","","GO:0031253","0.19716781142535375","0"
"42","5","STRING Clusters","","NADH dehydrogenase (ubiquinone) activity","0.0211","NDUFV3|MT-ND3|NDUFB2|NDUFC1|NDUFAB1","8815","9403|9391|9463|9423|9443","6.0E-5","","CL:11079","0.19716781142535375","0"
"27","4","Monarch Phenotype","","Chorioretinal atrophy","0.0228","PRPH2|GUCY2D|RPE65|LRAT","8815","9259|9415|9195|9439","1.6E-4","","HP:0000533","0.19320821307762573","0"
"548","15","Monarch Phenotype","","Optic atrophy","0.023","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|PDE6G|PCARE|LRAT|MT-ND3|CBS|PDE6B|PROM1|PRCD","8815","9071|9223|9211|9259|9243|9287|9195|9271|9315|9439|9391|9235|9175|9083|9299","1.6E-4","","HP:0000648","0.19276192345940574","0"
"78","6","COMPARTMENTS","","Mitochondrial respirasome","0.0233","COX5B|NDUFV3|MT-ND3|NDUFB2|NDUFC1|NDUFAB1","8815","9371|9403|9391|9463|9423|9443","1.0E-4","","GOCC:0005746","0.19209971328733025","0"
"45","5","COMPARTMENTS","","Mitochondrial respiratory chain complex I","0.0233","NDUFV3|MT-ND3|NDUFB2|NDUFC1|NDUFAB1","8815","9403|9391|9463|9423|9443","8.11E-5","","GOCC:0005747","0.19209971328733025","0"
"579","16","COMPARTMENTS","","Neuron projection","0.0233","TULP1|GUCA1B|PRPH2|CNGB1|GUCY2D|PDE6A|GNA12|PDE6G|TPRG1L|DVL1|SMN2|PDE6B|PROM1|PRCD|ARHGEF7|SNCA","8815","9223|9211|9259|9243|9415|9287|8967|9271|9143|9047|9451|9175|9083|9299|9303|9035","8.76E-5","","GOCC:0043005","0.19209971328733025","0"
"1327","26","Monarch Phenotype","","Hearing abnormality","0.0235","IMPG2|TULP1|GUCA1B|PRPH2|TTR|CNGB1|GUCY2D|PDE6A|RPE65|TYR|GAS8|ZNF462|PPFIBP1|PDE6G|PCARE|LRAT|MT-ND3|GPC4|DVL1|AIPL1|PDE6B|PROM1|RBM8A|PRCD|ABCC8|ENPP1","8815","9071|9223|9211|9259|9007|9243|9415|9287|9195|9491|9051|8891|9087|9271|9315|9439|9391|9419|9047|9471|9175|9083|8883|9299|9311|9275","1.7E-4","","HP:0000364","0.1916629598894373","0"
"816","19","Monarch Phenotype","","Abnormal external nose morphology","0.0238","IMPG2|TULP1|GUCA1B|PRPH2|CNGB1|PDE6A|RPE65|ZNF462|PDE6G|PCARE|LRAT|GPC4|DVL1|DYNC1I2|PDE6B|PROM1|RBM8A|PRCD|ABCC8","8815","9071|9223|9211|9259|9243|9287|9195|8891|9271|9315|9439|9419|9047|9123|9175|9083|8883|9299|9311","1.7E-4","","HP:0010938","0.19101475031194431","0"
"539","15","COMPARTMENTS","","Cilium","0.024","TULP1|GUCA1B|PRPH2|GPR83|CNGB1|GUCY2D|PDE6A|PKD1|GAS8|PDE6G|PCARE|PDE6B|PROM1|PRCD|EHD1","8815","9223|9211|9259|9339|9243|9415|9287|9127|9051|9271|9315|9175|9083|9299|8855","1.4E-4","","GOCC:0005929","0.19058713412220693","0"
